head	relation	tail	head_cui	tail_cui	source
Entity29	treats	Entity9749	C1000292	C1000293	synthetic
Entity29	located_in	Entity3853	C1000294	C1000295	synthetic
Entity29	follows	Entity1964	C1000296	C1000297	synthetic
Entity29	follows	Entity4033	C1000298	C1000299	synthetic
Entity30	causes	Entity9740	C1000300	C1000301	synthetic
Entity30	derived_from	Entity1343	C1000302	C1000303	synthetic
Entity30	follows	Entity9562	C1000304	C1000305	synthetic
Entity30	belongs_to_pathway	Entity8565	C1000306	C1000307	synthetic
Entity30	inhibits	Entity4272	C1000308	C1000309	synthetic
Entity31	activates	Entity5147	C1000310	C1000311	synthetic
Entity31	located_in	Entity4351	C1000312	C1000313	synthetic
Entity31	regulates	Entity2144	C1000314	C1000315	synthetic
Entity31	belongs_to_pathway	Entity7491	C1000316	C1000317	synthetic
Entity31	associated_with	Entity1188	C1000318	C1000319	synthetic
Entity32	part_of	Entity7508	C1000320	C1000321	synthetic
Entity32	interacts_with	Entity9224	C1000322	C1000323	synthetic
Entity32	precedes	Entity1200	C1000324	C1000325	synthetic
Entity32	correlated_with	Entity3492	C1000326	C1000327	synthetic
Entity32	expressed_in	Entity4345	C1000328	C1000329	synthetic
Entity33	treats	Entity5718	C1000330	C1000331	synthetic
Entity33	has_phenotype	Entity4002	C1000332	C1000333	synthetic
Entity33	mutated_in	Entity4669	C1000334	C1000335	synthetic
Entity33	precedes	Entity7179	C1000336	C1000337	synthetic
Entity33	part_of	Entity4956	C1000338	C1000339	synthetic
Entity34	associated_with	Entity8666	C1000340	C1000341	synthetic
Entity34	regulates	Entity9086	C1000342	C1000343	synthetic
Entity34	expressed_in	Entity1697	C1000344	C1000345	synthetic
Entity34	interacts_with	Entity4333	C1000346	C1000347	synthetic
Entity34	precedes	Entity1753	C1000348	C1000349	synthetic
Entity35	binds_to	Entity2546	C1000350	C1000351	synthetic
Entity35	part_of	Entity4616	C1000352	C1000353	synthetic
Entity35	belongs_to_pathway	Entity3450	C1000354	C1000355	synthetic
Entity35	binds_to	Entity3335	C1000356	C1000357	synthetic
Entity35	co_occurs_with	Entity8280	C1000358	C1000359	synthetic
Entity36	causes	Entity4114	C1000360	C1000361	synthetic
Entity36	derived_from	Entity1512	C1000362	C1000363	synthetic
Entity36	causes	Entity4533	C1000364	C1000365	synthetic
Entity36	belongs_to_pathway	Entity58	C1000366	C1000367	synthetic
Entity36	binds_to	Entity2143	C1000368	C1000369	synthetic
Entity37	similar_to	Entity2647	C1000370	C1000371	synthetic
Entity37	derived_from	Entity9038	C1000372	C1000373	synthetic
Entity37	associated_with	Entity9189	C1000374	C1000375	synthetic
Entity37	treats	Entity1832	C1000376	C1000377	synthetic
Entity37	precedes	Entity2442	C1000378	C1000379	synthetic
Entity38	has_phenotype	Entity590	C1000380	C1000381	synthetic
Entity38	precedes	Entity9543	C1000382	C1000383	synthetic
Entity38	derived_from	Entity2426	C1000384	C1000385	synthetic
Entity38	causes	Entity2088	C1000386	C1000387	synthetic
Entity38	has_phenotype	Entity5050	C1000388	C1000389	synthetic
Entity39	has_phenotype	Entity653	C1000390	C1000391	synthetic
Entity39	activates	Entity3441	C1000392	C1000393	synthetic
Entity39	has_phenotype	Entity1684	C1000394	C1000395	synthetic
Entity39	derived_from	Entity9173	C1000396	C1000397	synthetic
Entity39	activates	Entity2532	C1000398	C1000399	synthetic
Entity40	mutated_in	Entity2662	C1000400	C1000401	synthetic
Entity40	associated_with	Entity6755	C1000402	C1000403	synthetic
Entity40	belongs_to_pathway	Entity2938	C1000404	C1000405	synthetic
Entity40	activates	Entity6745	C1000406	C1000407	synthetic
Entity40	mutated_in	Entity4371	C1000408	C1000409	synthetic
Entity41	located_in	Entity1771	C1000410	C1000411	synthetic
Entity41	co_occurs_with	Entity634	C1000412	C1000413	synthetic
Entity41	inhibits	Entity3644	C1000414	C1000415	synthetic
Entity41	has_phenotype	Entity7541	C1000416	C1000417	synthetic
Entity41	activates	Entity5000	C1000418	C1000419	synthetic
Entity42	associated_with	Entity3652	C1000420	C1000421	synthetic
Entity42	located_in	Entity3164	C1000422	C1000423	synthetic
Entity42	binds_to	Entity5378	C1000424	C1000425	synthetic
Entity42	binds_to	Entity1137	C1000426	C1000427	synthetic
Entity42	correlated_with	Entity5753	C1000428	C1000429	synthetic
Entity43	precedes	Entity6548	C1000430	C1000431	synthetic
Entity43	associated_with	Entity5425	C1000432	C1000433	synthetic
Entity43	binds_to	Entity1889	C1000434	C1000435	synthetic
Entity43	follows	Entity2925	C1000436	C1000437	synthetic
Entity43	causes	Entity4349	C1000438	C1000439	synthetic
Entity44	part_of	Entity1776	C1000440	C1000441	synthetic
Entity44	has_phenotype	Entity7119	C1000442	C1000443	synthetic
Entity44	derived_from	Entity5139	C1000444	C1000445	synthetic
Entity44	correlated_with	Entity9932	C1000446	C1000447	synthetic
Entity44	located_in	Entity1894	C1000448	C1000449	synthetic
Entity45	inhibits	Entity9446	C1000450	C1000451	synthetic
Entity45	causes	Entity4173	C1000452	C1000453	synthetic
Entity45	associated_with	Entity7144	C1000454	C1000455	synthetic
Entity45	precedes	Entity8518	C1000456	C1000457	synthetic
Entity45	has_phenotype	Entity3228	C1000458	C1000459	synthetic
Entity46	treats	Entity7066	C1000460	C1000461	synthetic
Entity46	part_of	Entity5409	C1000462	C1000463	synthetic
Entity46	interacts_with	Entity5143	C1000464	C1000465	synthetic
Entity46	correlated_with	Entity4920	C1000466	C1000467	synthetic
Entity46	derived_from	Entity5067	C1000468	C1000469	synthetic
Entity47	located_in	Entity5344	C1000470	C1000471	synthetic
Entity47	precedes	Entity4844	C1000472	C1000473	synthetic
Entity47	inhibits	Entity2085	C1000474	C1000475	synthetic
Entity47	located_in	Entity6888	C1000476	C1000477	synthetic
Entity47	part_of	Entity2851	C1000478	C1000479	synthetic
Entity48	regulates	Entity9324	C1000480	C1000481	synthetic
Entity48	precedes	Entity6653	C1000482	C1000483	synthetic
Entity48	regulates	Entity6	C1000484	C1000485	synthetic
Entity48	inhibits	Entity4700	C1000486	C1000487	synthetic
Entity48	follows	Entity7043	C1000488	C1000489	synthetic
Entity49	belongs_to_pathway	Entity9939	C1000490	C1000491	synthetic
Entity49	similar_to	Entity7618	C1000492	C1000493	synthetic
Entity49	inhibits	Entity7244	C1000494	C1000495	synthetic
Entity49	co_occurs_with	Entity8375	C1000496	C1000497	synthetic
Entity49	treats	Entity2780	C1000498	C1000499	synthetic
Entity50	correlated_with	Entity4649	C1000500	C1000501	synthetic
Entity50	treats	Entity5491	C1000502	C1000503	synthetic
Entity50	regulates	Entity3848	C1000504	C1000505	synthetic
Entity50	inhibits	Entity3680	C1000506	C1000507	synthetic
Entity50	associated_with	Entity2414	C1000508	C1000509	synthetic
Entity51	activates	Entity757	C1000510	C1000511	synthetic
Entity51	part_of	Entity7784	C1000512	C1000513	synthetic
Entity51	similar_to	Entity1193	C1000514	C1000515	synthetic
Entity51	follows	Entity6790	C1000516	C1000517	synthetic
Entity51	located_in	Entity3185	C1000518	C1000519	synthetic
Entity52	located_in	Entity8099	C1000520	C1000521	synthetic
Entity52	expressed_in	Entity3997	C1000522	C1000523	synthetic
Entity52	interacts_with	Entity90	C1000524	C1000525	synthetic
Entity52	activates	Entity6965	C1000526	C1000527	synthetic
Entity52	correlated_with	Entity2881	C1000528	C1000529	synthetic
Entity53	causes	Entity7611	C1000530	C1000531	synthetic
Entity53	activates	Entity9132	C1000532	C1000533	synthetic
Entity53	similar_to	Entity1988	C1000534	C1000535	synthetic
Entity53	similar_to	Entity2184	C1000536	C1000537	synthetic
Entity53	precedes	Entity8702	C1000538	C1000539	synthetic
Entity54	belongs_to_pathway	Entity9755	C1000540	C1000541	synthetic
Entity54	part_of	Entity7251	C1000542	C1000543	synthetic
Entity54	derived_from	Entity8270	C1000544	C1000545	synthetic
Entity54	similar_to	Entity8976	C1000546	C1000547	synthetic
Entity54	co_occurs_with	Entity2607	C1000548	C1000549	synthetic
Entity55	binds_to	Entity7373	C1000550	C1000551	synthetic
Entity55	binds_to	Entity4050	C1000552	C1000553	synthetic
Entity55	co_occurs_with	Entity8540	C1000554	C1000555	synthetic
Entity55	binds_to	Entity3919	C1000556	C1000557	synthetic
Entity55	treats	Entity7206	C1000558	C1000559	synthetic
Entity56	activates	Entity4681	C1000560	C1000561	synthetic
Entity56	belongs_to_pathway	Entity4451	C1000562	C1000563	synthetic
Entity56	precedes	Entity5238	C1000564	C1000565	synthetic
Entity56	expressed_in	Entity1320	C1000566	C1000567	synthetic
Entity56	activates	Entity2471	C1000568	C1000569	synthetic
Entity57	expressed_in	Entity6275	C1000570	C1000571	synthetic
Entity57	treats	Entity3505	C1000572	C1000573	synthetic
Entity57	derived_from	Entity6797	C1000574	C1000575	synthetic
Entity57	precedes	Entity5421	C1000576	C1000577	synthetic
Entity57	derived_from	Entity7633	C1000578	C1000579	synthetic
Entity58	inhibits	Entity1020	C1000580	C1000581	synthetic
Entity58	located_in	Entity6883	C1000582	C1000583	synthetic
Entity58	associated_with	Entity9569	C1000584	C1000585	synthetic
Entity58	located_in	Entity9432	C1000586	C1000587	synthetic
Entity58	associated_with	Entity7814	C1000588	C1000589	synthetic
Entity59	regulates	Entity5763	C1000590	C1000591	synthetic
Entity59	derived_from	Entity6389	C1000592	C1000593	synthetic
Entity59	precedes	Entity8818	C1000594	C1000595	synthetic
Entity59	activates	Entity9883	C1000596	C1000597	synthetic
Entity59	activates	Entity7999	C1000598	C1000599	synthetic
Entity60	derived_from	Entity4471	C1000600	C1000601	synthetic
Entity60	associated_with	Entity7956	C1000602	C1000603	synthetic
Entity60	belongs_to_pathway	Entity6371	C1000604	C1000605	synthetic
Entity60	mutated_in	Entity6624	C1000606	C1000607	synthetic
Entity60	expressed_in	Entity7657	C1000608	C1000609	synthetic
Entity61	associated_with	Entity8751	C1000610	C1000611	synthetic
Entity61	follows	Entity6455	C1000612	C1000613	synthetic
Entity61	associated_with	Entity9246	C1000614	C1000615	synthetic
Entity61	derived_from	Entity1375	C1000616	C1000617	synthetic
Entity61	similar_to	Entity2223	C1000618	C1000619	synthetic
Entity62	causes	Entity2977	C1000620	C1000621	synthetic
Entity62	located_in	Entity4262	C1000622	C1000623	synthetic
Entity62	inhibits	Entity5363	C1000624	C1000625	synthetic
Entity62	belongs_to_pathway	Entity7449	C1000626	C1000627	synthetic
Entity62	located_in	Entity5529	C1000628	C1000629	synthetic
Entity63	derived_from	Entity4558	C1000630	C1000631	synthetic
Entity63	treats	Entity4133	C1000632	C1000633	synthetic
Entity63	associated_with	Entity7705	C1000634	C1000635	synthetic
Entity63	causes	Entity8837	C1000636	C1000637	synthetic
Entity63	activates	Entity5733	C1000638	C1000639	synthetic
Entity64	causes	Entity1124	C1000640	C1000641	synthetic
Entity64	activates	Entity508	C1000642	C1000643	synthetic
Entity64	associated_with	Entity3266	C1000644	C1000645	synthetic
Entity64	activates	Entity2496	C1000646	C1000647	synthetic
Entity64	co_occurs_with	Entity2068	C1000648	C1000649	synthetic
Entity65	follows	Entity1874	C1000650	C1000651	synthetic
Entity65	similar_to	Entity3571	C1000652	C1000653	synthetic
Entity65	has_phenotype	Entity4198	C1000654	C1000655	synthetic
Entity65	part_of	Entity2749	C1000656	C1000657	synthetic
Entity65	interacts_with	Entity9949	C1000658	C1000659	synthetic
Entity66	regulates	Entity2683	C1000660	C1000661	synthetic
Entity66	follows	Entity1771	C1000662	C1000663	synthetic
Entity66	regulates	Entity420	C1000664	C1000665	synthetic
Entity66	located_in	Entity9433	C1000666	C1000667	synthetic
Entity66	inhibits	Entity6498	C1000668	C1000669	synthetic
Entity67	follows	Entity1245	C1000670	C1000671	synthetic
Entity67	interacts_with	Entity3978	C1000672	C1000673	synthetic
Entity67	part_of	Entity4941	C1000674	C1000675	synthetic
Entity67	follows	Entity1983	C1000676	C1000677	synthetic
Entity67	has_phenotype	Entity672	C1000678	C1000679	synthetic
Entity68	derived_from	Entity8728	C1000680	C1000681	synthetic
Entity68	treats	Entity6071	C1000682	C1000683	synthetic
Entity68	belongs_to_pathway	Entity8289	C1000684	C1000685	synthetic
Entity68	derived_from	Entity207	C1000686	C1000687	synthetic
Entity68	interacts_with	Entity8031	C1000688	C1000689	synthetic
Entity69	has_phenotype	Entity7102	C1000690	C1000691	synthetic
Entity69	expressed_in	Entity7532	C1000692	C1000693	synthetic
Entity69	mutated_in	Entity7135	C1000694	C1000695	synthetic
Entity69	binds_to	Entity8548	C1000696	C1000697	synthetic
Entity69	co_occurs_with	Entity8817	C1000698	C1000699	synthetic
Entity70	derived_from	Entity7616	C1000700	C1000701	synthetic
Entity70	binds_to	Entity9707	C1000702	C1000703	synthetic
Entity70	activates	Entity5280	C1000704	C1000705	synthetic
Entity70	binds_to	Entity1419	C1000706	C1000707	synthetic
Entity70	activates	Entity7385	C1000708	C1000709	synthetic
Entity71	follows	Entity7613	C1000710	C1000711	synthetic
Entity71	located_in	Entity9999	C1000712	C1000713	synthetic
Entity71	associated_with	Entity5511	C1000714	C1000715	synthetic
Entity71	belongs_to_pathway	Entity8098	C1000716	C1000717	synthetic
Entity71	co_occurs_with	Entity2979	C1000718	C1000719	synthetic
Entity72	has_phenotype	Entity3475	C1000720	C1000721	synthetic
Entity72	belongs_to_pathway	Entity4232	C1000722	C1000723	synthetic
Entity72	part_of	Entity4581	C1000724	C1000725	synthetic
Entity72	precedes	Entity4526	C1000726	C1000727	synthetic
Entity72	correlated_with	Entity166	C1000728	C1000729	synthetic
Entity73	treats	Entity3130	C1000730	C1000731	synthetic
Entity73	derived_from	Entity3954	C1000732	C1000733	synthetic
Entity73	precedes	Entity8004	C1000734	C1000735	synthetic
Entity73	co_occurs_with	Entity3937	C1000736	C1000737	synthetic
Entity73	similar_to	Entity8041	C1000738	C1000739	synthetic
Entity74	treats	Entity282	C1000740	C1000741	synthetic
Entity74	activates	Entity4820	C1000742	C1000743	synthetic
Entity74	activates	Entity6625	C1000744	C1000745	synthetic
Entity74	follows	Entity5016	C1000746	C1000747	synthetic
Entity74	co_occurs_with	Entity6046	C1000748	C1000749	synthetic
Entity75	correlated_with	Entity9068	C1000750	C1000751	synthetic
Entity75	derived_from	Entity5632	C1000752	C1000753	synthetic
Entity75	belongs_to_pathway	Entity9017	C1000754	C1000755	synthetic
Entity75	similar_to	Entity5764	C1000756	C1000757	synthetic
Entity75	regulates	Entity4438	C1000758	C1000759	synthetic
Entity76	activates	Entity4118	C1000760	C1000761	synthetic
Entity76	inhibits	Entity1976	C1000762	C1000763	synthetic
Entity76	interacts_with	Entity5169	C1000764	C1000765	synthetic
Entity76	mutated_in	Entity8779	C1000766	C1000767	synthetic
Entity76	inhibits	Entity3138	C1000768	C1000769	synthetic
Entity77	binds_to	Entity7933	C1000770	C1000771	synthetic
Entity77	correlated_with	Entity9659	C1000772	C1000773	synthetic
Entity77	regulates	Entity9777	C1000774	C1000775	synthetic
Entity77	inhibits	Entity1647	C1000776	C1000777	synthetic
Entity77	activates	Entity4853	C1000778	C1000779	synthetic
Entity78	mutated_in	Entity5912	C1000780	C1000781	synthetic
Entity78	associated_with	Entity4952	C1000782	C1000783	synthetic
Entity78	expressed_in	Entity8751	C1000784	C1000785	synthetic
Entity78	causes	Entity4494	C1000786	C1000787	synthetic
Entity78	precedes	Entity893	C1000788	C1000789	synthetic
Entity79	expressed_in	Entity4786	C1000790	C1000791	synthetic
Entity79	interacts_with	Entity8042	C1000792	C1000793	synthetic
Entity79	follows	Entity200	C1000794	C1000795	synthetic
Entity79	co_occurs_with	Entity4658	C1000796	C1000797	synthetic
Entity79	similar_to	Entity7843	C1000798	C1000799	synthetic
Entity80	mutated_in	Entity5582	C1000800	C1000801	synthetic
Entity80	binds_to	Entity841	C1000802	C1000803	synthetic
Entity80	interacts_with	Entity7827	C1000804	C1000805	synthetic
Entity80	located_in	Entity1070	C1000806	C1000807	synthetic
Entity80	treats	Entity8056	C1000808	C1000809	synthetic
Entity81	causes	Entity9453	C1000810	C1000811	synthetic
Entity81	expressed_in	Entity2485	C1000812	C1000813	synthetic
Entity81	regulates	Entity9221	C1000814	C1000815	synthetic
Entity81	activates	Entity1395	C1000816	C1000817	synthetic
Entity81	precedes	Entity1940	C1000818	C1000819	synthetic
Entity82	part_of	Entity6818	C1000820	C1000821	synthetic
Entity82	part_of	Entity9766	C1000822	C1000823	synthetic
Entity82	correlated_with	Entity3697	C1000824	C1000825	synthetic
Entity82	similar_to	Entity6232	C1000826	C1000827	synthetic
Entity82	regulates	Entity7253	C1000828	C1000829	synthetic
Entity83	derived_from	Entity9642	C1000830	C1000831	synthetic
Entity83	follows	Entity5003	C1000832	C1000833	synthetic
Entity83	part_of	Entity986	C1000834	C1000835	synthetic
Entity83	inhibits	Entity1625	C1000836	C1000837	synthetic
Entity83	binds_to	Entity3457	C1000838	C1000839	synthetic
Entity84	mutated_in	Entity1330	C1000840	C1000841	synthetic
Entity84	mutated_in	Entity3929	C1000842	C1000843	synthetic
Entity84	treats	Entity9043	C1000844	C1000845	synthetic
Entity84	associated_with	Entity2564	C1000846	C1000847	synthetic
Entity84	similar_to	Entity6693	C1000848	C1000849	synthetic
Entity85	co_occurs_with	Entity9729	C1000850	C1000851	synthetic
Entity85	causes	Entity4771	C1000852	C1000853	synthetic
Entity85	regulates	Entity3792	C1000854	C1000855	synthetic
Entity85	similar_to	Entity4632	C1000856	C1000857	synthetic
Entity85	activates	Entity1166	C1000858	C1000859	synthetic
Entity86	follows	Entity4334	C1000860	C1000861	synthetic
Entity86	derived_from	Entity3241	C1000862	C1000863	synthetic
Entity86	precedes	Entity1880	C1000864	C1000865	synthetic
Entity86	expressed_in	Entity3683	C1000866	C1000867	synthetic
Entity86	expressed_in	Entity4352	C1000868	C1000869	synthetic
Entity87	causes	Entity1169	C1000870	C1000871	synthetic
Entity87	regulates	Entity2718	C1000872	C1000873	synthetic
Entity87	follows	Entity9749	C1000874	C1000875	synthetic
Entity87	similar_to	Entity4728	C1000876	C1000877	synthetic
Entity87	similar_to	Entity2037	C1000878	C1000879	synthetic
Entity88	located_in	Entity4982	C1000880	C1000881	synthetic
Entity88	correlated_with	Entity4460	C1000882	C1000883	synthetic
Entity88	co_occurs_with	Entity8847	C1000884	C1000885	synthetic
Entity88	treats	Entity7172	C1000886	C1000887	synthetic
Entity88	causes	Entity9798	C1000888	C1000889	synthetic
Entity89	belongs_to_pathway	Entity7078	C1000890	C1000891	synthetic
Entity89	binds_to	Entity9891	C1000892	C1000893	synthetic
Entity89	treats	Entity423	C1000894	C1000895	synthetic
Entity89	follows	Entity3750	C1000896	C1000897	synthetic
Entity89	associated_with	Entity9619	C1000898	C1000899	synthetic
Entity90	follows	Entity4415	C1000900	C1000901	synthetic
Entity90	mutated_in	Entity659	C1000902	C1000903	synthetic
Entity90	correlated_with	Entity7708	C1000904	C1000905	synthetic
